"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 4393"
"Critères de sélection =>";"Date de première alerte, de : 2022-01-01 00:00:00";"Date de première alerte, jusqu'à : 2022-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Origine de l'alerte";"Moyens de première intervention";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Voie carrossable la plus proche";"Activité ou habitation la plus proche";"Type de peuplement";"Connaissance de la cause";"Source de l'enquête";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";Commentaire;"Précision de la donnée";"Présence d'un contour valide"
2022;13809;"2A";"2A351";"Villanova";"2022-01-19 11:22:00";"Indéterminé";"3";50;;50;;;;;;;;;;;;;"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;14208;"66";"66141";"Pia";"2022-01-19 16:45:00";"Population";"3";10000;;;;;;;;;10000;;"Non";"4";"2";"6";"Inconnue";;;"Non";;;;;50;14;"NO";11;;"";"Non"
2022;13813;"2A";"2A065";"Cargèse";"2022-01-20 10:55:00";"Indéterminé";"3";30;;30;;;;;;;;;;;;;"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;19469;"13";"13053";"Mallemort";"2022-01-20 15:41:00";"Population";"3";200;200;;;;;;;;;;"Non";"1";"2";"1";"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;13633;"2B";"2B167";"Montegrosso";"2022-01-20 16:06:00";"Indéterminé";;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;13624;"07";"07202";"Sablières";"2022-01-20 17:11:00";"Population";"3";214923;74500;140400;;;;;;;23;;"Oui";"3";"3";"3";"Probable";"Coordinateur";"Involontaire (particulier)";;;;;;;50;"N";3;;"";"Non"
2022;13634;"2B";"2B281";"Sisco";"2022-01-21 11:31:00";"Indéterminé";;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;13602;"06";"06163";"Tende";"2022-01-21 13:59:00";"Population";"3";48000;10000;38000;;;;;;;;;"Non";"2";"3";"1";"Certaine";"Service de police et de gendarmerie";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13646;"07";"07074";"Creysseilles";"2022-01-21 16:18:00";"Population";"3";6000;6000;;;;;;;;;;"Oui";"3";"3";"5";"Certaine";"Sapeur-pompier";"Accidentelle";;;;;;;5;"N";5;;"";"Non"
2022;13636;"2B";"2B290";"Speloncato";"2022-01-21 17:36:00";"Indéterminé";;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
